2,2,341,0,0,0,50100
1,1,302,366,128,2007,50009
1,1,301,0,0,2009,50287
1,1,0,0,128,2009,50359
2,2,315,0,0,2001,0
1,1,341,340,187,2008,2233
1,1,338,0,197,2005,260
1,2,308,0,133,2009,50692
1,1,0,0,190,2008,50060
2,1,289,312,197,2005,50222
2,2,319,363,195,2005,51925
2,1,310,0,197,2005,51014
1,0,323,298,180,0,15965
1,2,302,0,155,2006,9773
1,1,299,356,0,2008,715
1,0,0,0,0,0,0
1,0,299,0,0,2007,3243
1,1,366,321,139,2008,15989
4,0,0,0,0,0,0
1,0,0,0,0,2007,9321
2,1,290,0,0,2004,0
2,2,341,0,0,2005,50701
1,1,366,0,155,2008,50073
1,1,341,338,181,2007,5928
1,1,360,0,183,2007,0
1,0,350,0,154,2007,5000
2,2,306,0,197,2005,18158
1,2,338,0,154,2006,50258
1,2,351,319,133,2009,16075
1,1,319,0,0,2006,9628
1,2,304,302,194,2006,0
1,2,340,0,130,2009,1317
2,1,306,367,197,2005,11099
1,1,297,0,130,2008,9940
1,2,301,336,180,2007,26535
1,1,332,0,197,2006,50221
2,2,326,0,175,2003,50241
1,0,0,0,194,2005,0
1,1,366,326,191,2009,22229
1,1,338,341,141,2007,10119
1,0,364,0,140,2009,50020
1,1,349,366,0,2009,50088
2,2,313,338,197,2003,15903
1,2,313,0,0,2007,50020
1,1,323,0,154,2006,9771
2,2,302,0,0,2001,0
2,2,319,374,0,2003,16805
1,2,307,351,134,2009,9321
1,1,360,377,193,2008,18003
1,1,349,360,185,2008,0
1,2,323,0,189,2008,9594
1,1,341,0,197,2006,15903
2,1,309,0,0,2004,50029
1,1,306,0,155,2007,21473
1,0,342,359,145,0,0
2,2,367,299,197,2004,50124
1,2,364,0,130,2009,0
1,1,309,0,137,2009,17278
1,1,302,0,197,2006,17050
1,1,312,340,0,2007,3022
2,1,341,0,0,2005,9611
5,2,303,0,0,0,3284
5,2,309,0,197,2006,12060
1,2,306,366,155,2008,55170
1,1,0,0,128,2009,2061
1,1,0,0,132,2009,16112
1,1,302,338,197,2007,3716
1,1,339,0,192,2005,50118
1,1,341,346,199,2007,51309
2,2,338,319,0,2005,9023
2,2,323,0,0,2004,0
1,2,338,0,154,2007,22204
2,2,315,0,0,2005,50872
1,1,377,0,154,2006,0
2,2,323,0,0,2004,21408
1,1,340,0,141,2008,4251
2,1,302,315,0,2005,50909
1,2,338,0,197,2006,8130
1,2,0,0,190,2008,16396
1,2,0,0,132,2008,50112
2,2,340,0,0,2000,9159
2,1,366,321,0,2004,0
1,1,301,0,197,2006,3651
1,1,347,308,191,2009,50025
1,2,338,326,184,2006,50010
2,1,326,341,197,2005,50415
1,1,302,0,130,2009,19860
1,1,0,0,140,2009,17454
2,1,303,0,154,2005,0
2,2,355,363,0,2005,0
1,0,0,0,0,0,0
2,1,304,0,197,2004,819
1,0,0,0,0,0,0
1,2,323,0,140,2009,15240
1,0,0,0,0,0,0
1,1,0,0,130,2009,17636
1,1,312,0,178,2006,2544
1,1,321,368,197,2007,50066
1,1,302,0,189,2007,10122
2,0,0,0,0,2005,0
1,2,323,0,145,2006,50494
1,1,366,0,155,2006,17870
1,1,353,0,130,2009,16168
1,2,377,0,0,0,16195
2,2,364,0,197,2004,3716
1,2,306,0,197,2006,2241
1,1,302,341,156,2006,50207
2,2,351,0,0,2005,16219
1,1,328,0,128,2006,16929
1,0,379,0,0,2005,0
1,2,328,379,184,2008,0
1,1,0,0,0,0,16046
2,1,366,0,0,2005,16091
1,2,364,0,132,2009,9147
2,0,317,0,0,2005,50325
5,2,302,0,0,2010,0
1,1,377,0,145,2006,5252
1,1,323,0,139,2008,0
1,1,341,355,195,2008,5126
1,2,364,312,155,2008,50786
2,1,290,0,197,2005,9343
2,0,378,0,0,2005,10788
1,1,0,0,139,2009,51037
2,1,364,341,0,2004,17746
5,1,338,335,0,0,0
1,2,352,0,154,2006,9496
2,1,326,0,0,2004,3576
1,2,0,0,133,2008,2061
1,1,0,0,155,2007,9753
1,1,340,312,183,2007,52783
1,1,315,319,178,2006,0
5,2,290,328,197,0,0
1,0,322,299,156,0,51286
2,0,326,0,0,0,0
2,2,323,0,0,2005,0
1,2,364,0,183,2007,25364
1,2,363,351,157,2007,6387
2,2,0,0,0,0,9351
1,1,377,0,197,2006,0
1,2,0,0,155,2007,51339
1,2,319,310,181,2008,52101
1,1,366,379,180,2006,50518
1,2,341,0,195,2006,51043
2,1,374,0,197,2004,0
2,2,378,323,0,2005,10937
1,2,326,362,128,2008,2701
1,2,332,0,180,2006,9580
1,2,0,0,0,0,0
1,1,326,0,0,2006,5932
1,1,0,0,135,2008,17880
1,1,340,0,154,2006,51465
1,1,326,0,197,2006,9366
1,1,341,0,197,2006,9783
1,1,306,318,128,2008,5211
1,2,369,0,197,2006,0
1,2,306,0,130,2009,17238
2,1,347,311,197,2004,17352
1,2,338,364,181,2006,0
5,2,323,0,197,0,0
1,2,0,0,140,2009,22246
1,1,317,0,0,2006,50022
1,1,366,0,178,2007,9333
1,2,366,0,0,2006,25085
1,1,0,0,0,2008,0
1,0,353,329,0,2006,17636
1,1,341,366,197,2006,16068
1,0,0,0,0,2007,3841
1,2,360,366,146,2008,3749
3,1,321,366,183,2008,21531
2,2,364,0,0,1999,51107
2,0,319,341,157,2004,0
1,1,0,0,139,2009,11285
1,2,341,0,155,2009,9829
1,1,374,364,188,2009,24660
2,0,339,0,0,2004,50185
1,1,338,0,144,2006,50091
1,2,302,0,156,2007,9307
1,2,338,341,135,2007,3716
1,1,317,0,179,2007,9423
2,0,326,338,0,2005,0
2,0,326,369,0,2005,0
5,2,377,315,197,0,9580
3,2,289,0,0,0,0
1,1,313,317,155,2006,50088
1,2,0,0,0,0,0
1,0,369,343,128,2007,51285
2,1,317,341,185,0,0
2,1,361,0,0,2005,0
1,2,360,328,197,2006,16007
1,1,341,298,156,2007,50692
1,2,323,0,155,2008,19228
1,1,319,0,154,2006,16924
1,1,360,306,130,0,0
1,1,364,343,153,2005,50152
1,2,306,364,150,2008,5003
1,1,0,0,133,2009,3840
1,2,323,0,197,2006,8647
2,1,326,0,197,2005,2734
2,1,341,319,0,2005,50575
1,2,338,0,0,2005,3858
2,1,356,0,197,2005,15589
1,2,338,0,0,2006,9530
1,2,351,0,189,2006,15969
2,1,323,319,0,2005,4057
1,1,302,0,128,2009,0
1,1,322,356,143,2009,16091
2,1,366,0,197,2005,50065
1,1,302,0,141,2006,13662
1,1,317,338,199,2007,17352
2,2,340,339,0,2004,50000
2,1,0,0,197,2004,51241
2,2,310,0,0,2000,50018
1,1,302,0,133,2009,20730
1,1,302,312,132,2008,50834
1,2,380,0,139,2008,0
2,0,360,309,0,2005,20927
1,2,306,338,197,2006,20337
1,2,0,0,135,2009,3840
